Order Date,Product ID,Order Quantity
30-10-2022,3177ZX,67.5
05-05-2022,1511ZX,20
18-04-2022,1906ZX,1
16-10-2022,2212XX,2
29-08-2021,3590YX,2
17-05-2022,1479ZX,2
07-05-2022,1083XX,80
05-10-2022,3084ZX,1
24-02-2022,3533ZX,30000
02-08-2021,3120YX,4
14-08-2022,3404ZX,10
25-10-2022,2640YX,66
16-05-2022,3084ZX,1
04-09-2021,1945XX,2
20-07-2021,1145YX,18
19-05-2022,2930ZX,1
15-09-2021,2876ZX,2
27-04-2022,2923ZX,1
25-10-2021,2025XX,10
21-06-2022,2293XX,63
07-05-2022,2930ZX,80
04-08-2021,1130XX,544
29-10-2022,2229XX,2
16-08-2022,1266ZX,2
09-10-2021,3495ZX,10
22-10-2021,3098XX,3
15-07-2021,1499ZX,3
22-01-2022,1382ZX,8
17-09-2021,3462XX,60
15-11-2022,2041ZX,2
03-11-2022,1511ZX,20
07-11-2022,1116ZX,16668
25-09-2022,3177ZX,45
15-09-2022,2013XX,130
02-02-2022,2785YX,606
05-11-2021,3619ZX,36
13-10-2022,2606XX,4
15-05-2022,3448ZX,8
31-07-2022,3125XX,5
08-07-2022,2930ZX,1
07-11-2021,1193YX,16
09-08-2021,3250ZX,200
03-09-2021,3461ZX,3
25-08-2022,3495ZX,5
06-09-2021,3125XX,20
29-08-2022,3448ZX,80
01-10-2021,3160YX,1
02-10-2022,2342ZX,55186
25-09-2022,3143ZX,5
05-12-2021,1445YX,1
02-11-2022,3512XX,500
25-04-2022,3413XX,5
06-07-2022,1956ZX,2
04-09-2021,1967YX,172
09-10-2022,2336YX,900
12-05-2022,2923ZX,5
25-03-2022,2501ZX,540
21-08-2022,1130XX,260
23-11-2021,2956XX,6
06-09-2022,2930ZX,7
04-12-2021,2876ZX,4
13-10-2021,2315YX,3175
08-09-2021,3551ZX,578
16-10-2022,2513ZX,2
01-09-2022,1967YX,70
11-04-2022,2930ZX,6
10-11-2021,2867XX,1
02-02-2022,2923ZX,1
01-01-2022,1083XX,5175
09-09-2021,3053XX,24
27-10-2022,3551ZX,1000
11-02-2022,2396ZX,930
12-08-2021,2054ZX,5
15-09-2021,1145YX,61
18-08-2021,2564YX,62
05-09-2022,3084ZX,1
14-11-2021,3495ZX,4
30-11-2021,1970ZX,100
09-06-2022,3404ZX,15
04-07-2022,2956XX,28
22-11-2021,3120YX,5
21-02-2022,3160YX,25
29-12-2021,2359ZX,5
19-07-2021,1009XX,1220
08-09-2022,2044ZX,1
08-04-2022,2498ZX,1
27-07-2022,3551ZX,200
03-10-2021,1116ZX,2000
17-11-2022,2189ZX,6
27-12-2021,2483YX,16316
25-07-2021,3053XX,7
13-05-2022,1601XX,5
21-08-2021,3250ZX,12
04-11-2022,2953ZX,1
03-09-2021,2763ZX,869
16-12-2021,1499XX,90
01-09-2022,2621XX,25
09-10-2021,3462XX,120
18-01-2022,1990XX,22.5
20-10-2021,1511ZX,10
08-06-2022,1385ZX,18
10-07-2022,1990XX,27.5
19-06-2022,2013XX,170
12-08-2021,3462XX,100
20-09-2022,3494XX,60
22-09-2022,3420XX,2
18-08-2021,1993XX,132.5
26-10-2022,3616ZX,21
14-01-2022,3502YX,1
28-09-2021,3502YX,1
21-08-2021,3556XX,4
04-02-2022,3551ZX,100
15-09-2022,1497ZX,57
08-07-2022,1130XX,315
30-09-2021,3404ZX,9
08-09-2021,1464XX,3
19-11-2022,2662ZX,21
26-09-2022,1908XX,1
24-04-2022,2925ZX,5
21-12-2021,1317ZX,1
02-02-2022,2212XX,3
11-09-2021,3084ZX,2
20-01-2022,1907XX,1
11-12-2021,3495ZX,10
18-06-2022,3193XX,1
23-01-2022,1499XX,204
21-06-2022,2953ZX,1
14-07-2022,3502YX,12
13-09-2021,3365ZX,50
29-05-2022,2513ZX,1
21-11-2021,2227XX,2
10-09-2022,1486ZX,1
24-12-2021,2277XX,759
09-06-2022,2115ZX,5
21-08-2021,1479ZX,3
21-11-2021,1993XX,520
01-03-2022,2348YX,1
22-08-2022,1953XX,1
27-11-2021,1921XX,1
19-11-2021,1193YX,144
19-10-2021,2227XX,2
22-12-2021,2212ZX,6
21-04-2022,1945XX,1
10-01-2022,1970ZX,10
13-08-2021,2054XX,5
26-08-2022,3365ZX,6
17-07-2022,2956XX,9
04-11-2022,2173ZX,4
27-03-2022,1077ZX,1809
16-11-2021,2236ZX,1
01-05-2022,3461ZX,1
07-08-2022,3512XX,1
16-05-2022,1009XX,110
07-08-2022,1906ZX,1
20-12-2021,2021ZX,3
16-11-2021,1990XX,35
14-09-2022,2212XX,1
08-09-2022,2229XX,3
09-08-2022,3407ZX,4
14-07-2022,1624XX,4
11-05-2022,3462XX,100
20-11-2022,1083XX,46
16-02-2022,1992XX,640
15-11-2022,3494XX,350
21-12-2021,1479ZX,12
07-09-2021,1970ZX,195
07-08-2022,3193XX,19
23-03-2022,3576YX,3
17-08-2021,3461ZX,25
16-09-2022,2763ZX,225
25-11-2022,2555ZX,8
09-12-2021,1630YX,2
19-11-2022,2021ZX,3
20-02-2022,1214ZX,27
25-01-2022,1497ZX,20
03-11-2021,1906ZX,2
18-08-2022,2337ZX,350
11-08-2021,3025ZX,1
01-10-2022,1624XX,5
11-03-2022,1745YX,3
15-01-2022,1708XX,3
02-12-2021,1499ZX,2
27-06-2022,2021ZX,3
24-02-2022,2337ZX,94
27-08-2021,3053XX,6
24-03-2022,1126ZX,1500
12-12-2021,1382ZX,10
09-11-2022,2766XX,38
24-12-2021,2315YX,250
28-05-2022,2337ZX,175
28-08-2021,2767XX,147
12-09-2021,1379ZX,7
06-03-2022,2632XX,335
10-09-2022,2925ZX,52
27-09-2022,3512XX,3300
05-03-2022,3250ZX,200
11-11-2022,1255ZX,1
21-07-2021,1497ZX,80
14-01-2022,2212XX,6
22-12-2021,2923ZX,8
15-02-2022,2044ZX,6
14-09-2022,1967YX,8
16-07-2022,1163ZX,80
09-07-2022,2317ZX,90
07-10-2022,3399XX,1
10-04-2022,3576YX,3
22-07-2021,2173ZX,2
05-12-2021,1193YX,8
10-01-2022,2053YX,1
10-09-2021,2227XX,2
20-06-2022,3533ZX,500
20-04-2022,1193YX,110
06-08-2022,1163ZX,44
13-01-2022,2970ZX,1
07-08-2021,3399XX,3
08-10-2021,1130XX,29
25-06-2022,1907XX,1
16-10-2021,2265YX,1
28-12-2021,1695ZX,1
07-10-2021,3138ZX,2
20-04-2022,2767XX,525
09-05-2022,2170YX,5
08-09-2021,3132YX,3
03-11-2021,1956XX,1
28-01-2022,2646XX,17
12-11-2021,2766XX,225
29-10-2021,1586ZX,30
01-12-2021,2016ZX,55
18-06-2022,2291XX,226
24-10-2021,1497ZX,32
25-10-2021,3271ZX,2
25-11-2021,3619ZX,1400
05-01-2022,3138ZX,4
11-05-2022,2564YX,21
23-01-2022,2317ZX,260
29-06-2022,3619ZX,1412
25-01-2022,1499ZX,2
11-12-2021,2025XX,8
25-09-2021,1967YX,565
17-08-2022,3345XX,4
06-03-2022,2508YX,1
24-11-2022,2930ZX,2
23-08-2022,2212ZX,2
06-05-2022,1964YX,17.5
30-06-2022,1479ZX,4
18-02-2022,2189ZX,3
09-04-2022,2501ZX,13
29-08-2022,2564YX,252
02-05-2022,1479ZX,1
30-08-2022,1130XX,420
06-12-2021,1385ZX,8
24-03-2022,3404ZX,3
19-11-2021,3462XX,400
07-02-2022,1161XX,20
14-03-2022,1193YX,2
09-07-2022,3193XX,10
14-10-2021,1234YX,187
12-05-2022,1224XX,12
26-09-2021,3461ZX,1
28-04-2022,3407ZX,4
17-10-2021,2727ZX,126
14-10-2021,3193XX,1
08-07-2022,1630YX,2
16-01-2022,2766XX,25
05-11-2021,1497ZX,6
23-10-2022,1366YX,1
29-09-2022,2956XX,23
31-07-2021,2729XX,230
10-08-2021,3576YX,2
01-05-2022,1990XX,32.5
05-01-2022,1206YX,56
12-07-2022,1497ZX,350
22-08-2021,1650XX,182
24-11-2022,2265YX,1
14-09-2021,2336YX,885
29-08-2022,3053XX,20
28-11-2021,2956XX,14
08-09-2022,1479ZX,20
20-07-2022,1979XX,40
16-11-2021,2227XX,4
11-09-2022,3551ZX,200
19-09-2022,2173ZX,3
16-11-2022,1193YX,215
20-01-2022,3053XX,15
08-05-2022,2621XX,319
30-09-2022,2956XX,4
20-05-2022,2331ZX,35
21-02-2022,2342ZX,150
17-05-2022,2953ZX,2
26-04-2022,3025ZX,1
11-08-2021,1499XX,250
30-05-2022,2867XX,10
11-03-2022,1681ZX,13
04-03-2022,3462XX,20
20-10-2022,2227XX,2
24-08-2022,3084ZX,3
04-01-2022,3619ZX,1020
03-04-2022,2236ZX,1
03-08-2022,2200ZX,20
16-10-2021,2315YX,200
13-07-2022,1601XX,7
13-04-2022,3177ZX,67.5
25-05-2022,1385ZX,7
18-04-2022,1624XX,1
03-01-2022,1193YX,67
17-10-2022,2212ZX,1
27-08-2021,2200ZX,1
01-10-2021,1584YX,1
03-02-2022,2498ZX,1
20-02-2022,1990XX,25
15-10-2022,3556XX,6
19-08-2021,1130XX,300
23-12-2021,1379ZX,35
15-07-2021,3399XX,1
11-07-2022,3160YX,3
19-09-2021,2953YX,40
04-01-2022,2847YX,110
13-03-2022,1708XX,9
10-11-2021,2621XX,354
24-01-2022,1994XX,20
10-05-2022,2013XX,70
27-10-2022,1366YX,1
06-09-2021,2396ZX,400
28-09-2022,2785YX,475
26-10-2021,3462XX,50
25-04-2022,2513ZX,1
03-10-2022,1953XX,1
13-10-2022,3053XX,18
03-11-2021,3512XX,1221
17-08-2021,2621XX,168
26-09-2022,3413XX,10
15-09-2022,1990XX,1.5
22-10-2022,2025XX,2
12-05-2022,3399XX,2
25-11-2022,2970ZX,10
27-06-2022,1630YX,3
15-12-2021,3512XX,3150
01-09-2021,1479ZX,10
17-01-2022,1511ZX,10
26-05-2022,1956ZX,1
30-01-2022,1479ZX,4
11-04-2022,2956XX,32
15-08-2022,2923ZX,1
02-11-2022,3616ZX,2
02-03-2022,1464XX,1
23-01-2022,3448ZX,20
22-07-2022,2396ZX,1376
21-07-2021,3413XX,2
18-10-2021,3358YX,4
25-12-2021,1945XX,1
12-05-2022,2041ZX,5
08-04-2022,3079YX,24
25-12-2021,3448ZX,100
09-08-2022,1193YX,4
25-06-2022,2189ZX,3
05-02-2022,1382ZX,9
11-07-2022,2953YX,60
10-04-2022,2291XX,380
22-06-2022,1330ZX,1
06-07-2022,1317ZX,1
17-05-2022,3512XX,200
23-10-2021,2729XX,19
30-09-2022,2621XX,16
25-12-2021,3160YX,4
24-07-2022,2267ZX,123
14-08-2022,2212XX,5
13-06-2022,3556XX,10
28-09-2021,3120YX,5
09-10-2022,1624XX,3
18-10-2022,2867XX,5
01-11-2021,2803YX,250
07-06-2022,2054ZX,3
27-07-2021,3079YX,330
14-10-2021,1161XX,86
27-02-2022,1077ZX,100
16-10-2022,2923ZX,4
27-03-2022,3053XX,11
12-12-2021,1009XX,58
25-07-2022,3512XX,1000
20-03-2022,2867XX,62
23-10-2021,2115ZX,3
17-09-2022,2212ZX,3
27-09-2022,1379ZX,2
07-11-2021,2935YX,2
26-09-2022,2317ZX,145
17-06-2022,1479ZX,3
23-07-2021,2223XX,1
07-11-2022,1967YX,5
27-12-2021,2200ZX,4
18-09-2021,2331ZX,77
15-08-2022,3512XX,1000
15-09-2021,2930ZX,1
21-12-2021,1695ZX,1
16-05-2022,2515YX,230
17-11-2021,1009XX,280
29-01-2022,2938ZX,1
09-05-2022,2139YX,1
17-05-2022,3413XX,10
15-08-2022,3193XX,1
26-11-2021,2227XX,1
30-01-2022,1479ZX,4
07-07-2022,2867XX,3
08-02-2022,3404ZX,5
17-01-2022,3399XX,3
26-03-2022,1993XX,125
15-11-2021,2315YX,300
07-11-2021,2714ZX,183
27-01-2022,2501ZX,315
18-07-2021,2680YX,17
16-07-2021,2970ZX,1
21-08-2022,1163ZX,53
03-12-2021,2212XX,11
24-03-2022,2555ZX,18
10-03-2022,1445YX,2
09-08-2021,2396ZX,924
09-10-2021,1953XX,1
04-07-2022,3053XX,7
20-11-2022,2515YX,50
20-11-2021,1464XX,1
09-05-2022,2013XX,142.5
29-12-2021,1967YX,1225
08-01-2022,2326ZX,40
10-08-2021,3512XX,683
25-05-2022,1385ZX,7
27-08-2022,1906ZX,1
17-09-2021,2342ZX,500
11-12-2021,2564YX,4
15-09-2021,1077ZX,6306
13-10-2022,3193XX,3
26-01-2022,1479ZX,5
20-11-2022,2025XX,26
02-11-2022,3399XX,3
29-08-2022,1695ZX,1
26-05-2022,3404ZX,3
03-12-2021,2227XX,2
28-05-2022,2994ZX,1
16-04-2022,2956XX,6
02-11-2021,1907XX,1
19-07-2021,1163ZX,37
11-01-2022,3161YX,150
26-04-2022,1009XX,200
19-09-2021,2988XX,1
01-11-2021,1601XX,4
31-07-2022,2953ZX,2
25-10-2021,3345XX,5
25-03-2022,1161XX,200
05-07-2022,3512XX,3000
17-11-2021,3345XX,10
05-01-2022,1486ZX,4
07-12-2021,1497ZX,26
20-08-2021,1995XX,75
01-08-2021,1145YX,100
01-05-2022,3079YX,55
08-01-2022,2326ZX,72
27-01-2022,2317ZX,900
06-09-2021,2935YX,10
09-09-2022,2956XX,4
24-10-2022,2867XX,13
08-07-2022,1970ZX,152.5
03-02-2022,2229XX,2
05-04-2022,3461ZX,5
21-05-2022,3495ZX,15
23-11-2022,3084ZX,1
26-02-2022,3590YX,6
07-03-2022,3079YX,12
24-03-2022,2326ZX,445
13-03-2022,3413XX,23
05-08-2022,1993XX,180
11-11-2021,3345XX,8
16-05-2022,2170YX,4
03-09-2021,2938ZX,3
09-03-2022,1624ZX,5
01-03-2022,3404ZX,10
07-09-2021,3365ZX,50
20-05-2022,2326ZX,255
26-11-2021,3079YX,33
21-03-2022,2930ZX,7
19-11-2021,1511ZX,24
29-11-2021,1214ZX,55
03-09-2021,2923ZX,1
13-09-2022,2234XX,4
02-07-2022,1445YX,1
21-12-2021,2189ZX,5
20-07-2022,3084ZX,1
10-09-2021,3407ZX,1
20-01-2022,2025XX,5
13-03-2022,2606XX,4
05-09-2021,1971XX,25
11-10-2021,1695ZX,1
13-09-2022,2060XX,15
13-11-2022,2763ZX,2268
31-07-2021,1956XX,1
12-11-2021,2840XX,1739
25-07-2021,3160YX,2
24-08-2022,1956ZX,2
09-08-2022,3250ZX,500
31-05-2022,3250ZX,100
16-03-2022,2555ZX,6
07-05-2022,2923ZX,1
28-06-2022,3404ZX,5
04-07-2022,1876XX,1
08-12-2021,1464XX,6
18-05-2022,2508YX,2
31-12-2021,3576YX,3
11-10-2021,2170YX,4
28-05-2022,1163ZX,20
16-11-2021,2621XX,10
08-12-2021,1083XX,4700
11-09-2021,1992XX,595
19-05-2022,1163ZX,70
20-10-2022,1193YX,16
02-05-2022,1382ZX,7
19-03-2022,1161XX,453
03-08-2021,2212XX,5
01-01-2022,2953ZX,2
04-11-2022,3075XX,1
29-07-2021,2060XX,2
04-09-2022,3610XX,8
04-11-2022,3494XX,30
29-08-2022,2342ZX,100
30-06-2022,2501ZX,578
13-10-2021,2044ZX,4
11-09-2022,1601XX,5
23-06-2022,1953XX,1
19-07-2021,2227XX,7
30-03-2022,1445YX,2
16-10-2021,2060XX,2
04-10-2022,1964YX,225
08-10-2022,2025XX,5
14-11-2022,2501ZX,1159
21-09-2022,3576YX,3
09-10-2022,1741YX,3
27-10-2021,3193XX,5
11-10-2021,2039ZX,4
27-10-2022,1145YX,80
27-09-2021,1970ZX,55
20-09-2022,2293XX,4568
23-08-2021,3551ZX,200
06-10-2021,2953ZX,2
30-06-2022,3025ZX,1
26-03-2022,2803YX,8
17-09-2022,2331ZX,60
06-12-2021,3407ZX,5
24-04-2022,2953ZX,1
18-03-2022,2277XX,59
14-06-2022,3177ZX,56.25
24-09-2021,2060XX,1
13-07-2021,3551ZX,105
22-01-2022,3533ZX,4200
03-09-2021,1956ZX,1
22-01-2022,2513ZX,4
27-08-2022,3407ZX,5
12-06-2022,2501ZX,316
10-10-2022,2044ZX,4
14-04-2022,1497ZX,71
29-07-2022,1624XX,2
16-10-2022,1908XX,1
08-11-2021,2293XX,65
26-04-2022,3407ZX,3
23-10-2021,2606XX,2
01-08-2021,2501ZX,65
11-09-2021,3512XX,2400
09-01-2022,1145YX,120
14-11-2021,2621XX,6
06-09-2022,2173ZX,3
28-08-2022,3579ZX,6
14-08-2021,1479ZX,20
09-05-2022,2876ZX,227
27-08-2021,1464XX,1
16-11-2021,3420XX,8
21-10-2021,3143ZX,6
01-05-2022,3448ZX,12
26-08-2022,2501ZX,945
18-11-2022,1967YX,10
26-05-2022,2680YX,4
14-08-2021,2173ZX,11
18-11-2021,3365ZX,5
03-10-2021,2025XX,22
30-10-2022,2484YX,74
27-05-2022,2953YX,40
12-08-2021,1964YX,155
25-01-2022,2564YX,12
16-10-2021,1130XX,1400
11-01-2022,1317ZX,1
31-12-2021,3075XX,1
09-11-2021,2501ZX,200
22-06-2022,2021ZX,10
30-07-2022,1956XX,1
14-11-2021,2935YX,9
05-03-2022,2953YX,66
13-11-2022,3533ZX,1000
23-11-2021,2498YX,1
28-08-2021,2938ZX,3
24-03-2022,2212XX,4
14-06-2022,2212ZX,3
14-07-2021,2953ZX,1
27-07-2022,2814YX,288
13-09-2021,3079YX,24
15-09-2022,2498YX,2
14-09-2021,1479ZX,10
25-11-2021,3358YX,2
25-08-2022,2396ZX,50
11-11-2022,3502YX,150
22-01-2022,3138ZX,6
20-05-2022,2326ZX,87
18-11-2021,1956ZX,1
08-02-2022,1479ZX,5
20-05-2022,1584YX,1
22-10-2022,2013XX,240
24-09-2021,3551ZX,400
01-08-2022,3502YX,1
15-01-2022,3420XX,1
12-02-2022,1956ZX,2
08-12-2021,3358YX,1
22-10-2022,1993XX,240
12-04-2022,2170YX,2
11-03-2022,3250ZX,100
13-10-2022,1624XX,5
01-09-2021,2508YX,1
10-10-2021,2315YX,4
01-02-2022,3404ZX,12
30-03-2022,2189ZX,3
05-10-2022,2173ZX,1
12-07-2022,3551ZX,30
07-02-2022,1009XX,55
02-01-2022,2025XX,3
16-05-2022,2938ZX,1
23-08-2021,1385ZX,7
17-10-2021,3138ZX,4
08-11-2021,1077ZX,3017
09-10-2021,2039ZX,2
28-05-2022,1382ZX,8
18-07-2022,1486ZX,1
11-06-2022,3404ZX,1
05-10-2022,2752XX,46
25-09-2021,1255ZX,1
17-11-2021,3619ZX,3800
13-03-2022,2212XX,11
25-06-2022,3358YX,2
15-11-2021,3551ZX,750
24-11-2021,3619ZX,4000
20-11-2022,1971XX,65
16-12-2021,3365ZX,4
21-08-2021,3413XX,3
20-12-2021,2970ZX,1
31-03-2022,2501ZX,25
09-09-2022,2923ZX,14
23-05-2022,1907XX,1
07-10-2022,1979XX,60
17-08-2022,2953YX,60
06-04-2022,2013XX,120
20-06-2022,3079YX,3
20-04-2022,2501ZX,17
18-05-2022,1624XX,2
11-06-2022,2013XX,21
11-08-2021,2291XX,422
03-08-2021,1499ZX,2
28-07-2021,1479ZX,5
21-10-2022,3132YX,1
28-12-2021,2953YX,60
03-05-2022,2767XX,8
11-11-2021,2317ZX,341
06-02-2022,3551ZX,100
11-08-2022,2418ZX,16
17-04-2022,3407ZX,2
11-11-2022,3404ZX,2
29-08-2022,1499ZX,2
29-06-2022,3420XX,2
11-01-2022,3420XX,2
13-01-2022,2044ZX,3
16-06-2022,2317ZX,200
14-07-2022,2953ZX,1
27-11-2021,3420XX,2
20-02-2022,1695ZX,2
19-06-2022,1163ZX,8
22-06-2022,2229XX,4
23-09-2022,3084ZX,1
12-11-2022,3160YX,5
05-11-2022,3551ZX,100
17-06-2022,1130XX,179
23-12-2021,3461ZX,5
04-09-2022,2564YX,110
06-01-2022,2714ZX,2268
11-01-2022,3125XX,1
14-04-2022,3551ZX,1100
24-12-2021,3556XX,12
21-10-2022,2923ZX,7
07-11-2022,3590YX,4
01-11-2022,2053YX,3
16-10-2021,2277XX,1384
13-05-2022,2212XX,3
10-11-2021,1956ZX,2
30-10-2021,2803YX,666
06-02-2022,2170YX,11
07-11-2022,2315YX,144
25-09-2021,2096YX,11
13-09-2021,1486ZX,20
11-02-2022,1497ZX,26
14-04-2022,2013XX,102
17-09-2022,2170YX,5
13-07-2022,2331ZX,65
02-11-2021,2938ZX,3
17-05-2022,2170YX,11
09-08-2021,3576YX,10
06-06-2022,1695ZX,1
18-10-2022,1445YX,2
03-11-2022,3053XX,32
25-11-2022,3590YX,6
14-03-2022,2988XX,1
07-05-2022,3461ZX,4
15-11-2022,3576YX,6
01-05-2022,3551ZX,105
09-06-2022,2317ZX,750
28-08-2022,2930ZX,1
01-07-2022,3075XX,1
28-02-2022,1145YX,12
08-01-2022,3590YX,8
02-04-2022,2331ZX,450
09-08-2022,3160YX,5
26-09-2021,1695ZX,1
19-10-2021,1464XX,2
06-08-2021,1995XX,1.5
10-09-2021,2293XX,100
17-03-2022,2326ZX,83
27-02-2022,3161YX,6
20-06-2022,1499XX,143
04-06-2022,1445YX,1
07-12-2021,2714ZX,2
13-07-2021,3079YX,151
24-09-2021,2189ZX,12
11-04-2022,1945XX,1
21-09-2022,1921XX,2
11-07-2022,2604ZX,16
21-10-2022,3025ZX,1
30-09-2021,2173ZX,5
09-07-2022,2953ZX,1
21-04-2022,2291XX,14
06-08-2022,2513ZX,1
17-11-2022,1479ZX,1
20-08-2021,3075XX,2
21-08-2022,2044ZX,12
06-09-2022,2953YX,62
13-05-2022,3413XX,5
12-06-2022,3084ZX,1
16-07-2021,2229XX,3
30-01-2022,3494XX,60
13-10-2021,3494XX,30
18-12-2021,3404ZX,10
24-12-2021,2021ZX,5
22-10-2021,2054ZX,2
16-08-2022,2953YX,60
29-09-2022,1161XX,39
04-01-2022,2956XX,4
09-11-2022,1907XX,1
16-11-2022,2013XX,7.5
27-04-2022,1624ZX,2
26-10-2021,1193YX,394
27-07-2022,1009XX,51
15-01-2022,2220YX,3
24-12-2021,1479ZX,3
29-11-2021,2970ZX,3
26-08-2022,2189ZX,5
28-10-2022,3084ZX,1
17-11-2021,2060XX,4
11-10-2022,1116ZX,1000
13-04-2022,1695ZX,1
22-09-2021,1317ZX,1
08-08-2021,2234XX,1
11-10-2022,2060XX,4
19-05-2022,3025ZX,10
23-09-2021,2662ZX,10
14-10-2022,1630YX,10
20-08-2022,1161XX,224
06-05-2022,1584YX,1
31-03-2022,2498ZX,1
06-06-2022,2956XX,11
09-09-2022,2935YX,15
10-10-2022,1265ZX,1
29-05-2022,3084ZX,1
24-10-2021,1130XX,53
19-09-2022,2515YX,37
09-07-2022,2265YX,5
30-05-2022,3494XX,60
28-12-2021,2564YX,70
28-08-2022,3423ZX,1
08-08-2021,2173ZX,4
10-08-2021,1163ZX,75
03-11-2022,2265YX,2
30-07-2021,3079YX,18
22-11-2021,3619ZX,1846
30-04-2022,3250ZX,210
31-03-2022,2498YX,1
02-09-2022,2956XX,48
30-10-2021,1601XX,1
25-04-2022,3461ZX,25
11-12-2021,1994XX,750
09-09-2022,1964YX,35
11-01-2022,2429YX,6953
23-01-2022,2662ZX,30
14-07-2021,1990XX,105
13-12-2021,2673YX,400
02-08-2022,2606XX,3
19-07-2021,2673YX,215
29-04-2022,1908XX,1
18-12-2021,1499XX,20
30-07-2021,2867XX,53
14-11-2022,2471ZX,700
14-06-2022,2646XX,14
09-04-2022,3358YX,1
21-08-2021,1130XX,360
15-08-2022,1083XX,7410
29-09-2021,3533ZX,3100
31-10-2021,1403ZX,1
07-08-2021,3462XX,50
11-06-2022,3619ZX,8000
18-03-2022,1479ZX,6
15-07-2022,3378ZX,250
01-02-2022,2513ZX,1
16-08-2022,3619ZX,7421
18-07-2022,3407ZX,1
24-01-2022,2265YX,2
17-11-2021,1971XX,260
02-10-2021,2337ZX,25
05-08-2021,1130XX,116
01-03-2022,1379ZX,9
31-01-2022,3448ZX,20
13-07-2022,3358YX,1
05-09-2021,2170YX,3
19-01-2022,1624ZX,4
18-07-2022,1907XX,1
16-06-2022,1130XX,53
29-07-2021,1163ZX,63
06-09-2021,1624XX,1
28-07-2022,2803YX,126
24-04-2022,3448ZX,30
15-03-2022,2229XX,3
07-09-2021,2714ZX,81
30-10-2021,3160YX,10
03-10-2022,3193XX,5
19-03-2022,2265YX,2
04-02-2022,1083XX,219
13-11-2022,2640YX,144
31-08-2021,3250ZX,150
23-10-2021,1009XX,450
17-11-2021,1511ZX,9
22-08-2022,2501ZX,294
18-04-2022,3125XX,1
29-03-2022,1906ZX,2
05-10-2022,1379ZX,8
03-10-2021,3576YX,2
16-11-2022,1970ZX,48
24-10-2021,1009XX,220
31-05-2022,3345XX,60
12-12-2021,2953ZX,7
16-07-2022,3053XX,22
28-04-2022,2066XX,3
22-12-2021,3462XX,50
05-08-2021,2867XX,31
14-02-2022,1695ZX,1
30-05-2022,1601XX,1
22-03-2022,1445YX,1
20-12-2021,3025ZX,1
05-10-2021,3494XX,30
27-06-2022,1193YX,130
18-09-2022,2021ZX,30
07-08-2022,3556XX,2
24-07-2022,1479ZX,2
05-11-2022,2970ZX,1
16-04-2022,1511ZX,20
13-07-2021,3250ZX,300
13-04-2022,1906ZX,1
10-09-2022,3551ZX,100
22-07-2021,3619ZX,330
04-04-2022,3404ZX,10
24-09-2021,1385ZX,7
18-10-2021,2277XX,190
17-04-2022,3160YX,10
17-01-2022,2766XX,500
24-09-2022,3512XX,3000
13-08-2021,2227XX,200
17-07-2021,1908XX,1
23-07-2022,2234XX,3
14-03-2022,1445YX,1
25-09-2022,3125XX,243
12-09-2021,1163ZX,110
25-05-2022,1295ZX,1
21-11-2022,1990XX,35
02-10-2022,2236ZX,1
